iter	Passed	Remaining
1099	3442	2181
1100	3444	2177
1101	3445	2173
1102	3447	2168
1103	3448	2164
1104	3450	2160
1105	3452	2157
1106	3455	2153
1107	3456	2149
1108	3458	2145
1109	3460	2141
1110	3462	2137
1111	3464	2133
1112	3465	2130
1113	3467	2125
1114	3469	2121
1115	3470	2117
1116	3472	2113
1117	3473	2109
1118	3475	2105
1119	3479	2103
1120	3480	2099
1121	3482	2095
1122	3484	2091
1123	3487	2087
1124	3489	2084
1125	3491	2080
1126	3493	2076
1127	3494	2072
1128	3496	2068
1129	3498	2064
1130	3499	2060
1131	3501	2056
1132	3502	2052
1133	3504	2048
1134	3505	2044
1135	3507	2040
1136	3508	2036
1137	3510	2032
1138	3511	2028
1139	3513	2024
1140	3514	2020
1141	3516	2016
1142	3517	2012
1143	3518	2008
1144	3522	2005
1145	3523	2001
1146	3525	1997
1147	3526	1993
1148	3528	1989
1149	3530	1986
1150	3532	1982
1151	3533	1978
1152	3535	1974
1153	3536	1970
1154	3539	1967
1155	3540	1963
1156	3542	1959
1157	3543	1955
1158	3545	1951
1159	3546	1947
1160	3549	1944
1161	3551	1940
1162	3553	1936
1163	3554	1933
1164	3557	1929
1165	3558	1925
1166	3560	1922
1167	3561	1918
1168	3563	1914
1169	3564	1910
1170	3566	1906
1171	3567	1902
1172	3569	1898
1173	3572	1895
1174	3573	1891
1175	3575	1888
1176	3577	1884
1177	3578	1880
1178	3579	1876
1179	3581	1872
1180	3583	1868
1181	3584	1865
1182	3586	1861
1183	3588	1857
1184	3589	1853
1185	3591	1850
1186	3592	1846
1187	3594	1842
1188	3595	1838
1189	3597	1834
1190	3598	1831
1191	3600	1827
1192	3601	1823
1193	3603	1819
1194	3604	1815
1195	3606	1812
1196	3607	1808
1197	3609	1804
1198	3610	1800
1199	3611	1796
1200	3613	1793
1201	3614	1789
1202	3616	1785
1203	3617	1781
1204	3619	1777
1205	3620	1774
1206	3621	1770
1207	3623	1766
1208	3624	1762
1209	3625	1759
1210	3627	1755
1211	3629	1751
1212	3631	1748
1213	3632	1744
1214	3634	1740
1215	3635	1736
1216	3636	1733
1217	3638	1729
1218	3639	1725
1219	3641	1722
1220	3642	1718
1221	3643	1714
1222	3645	1711
1223	3646	1707
1224	3648	1703
1225	3649	1699
1226	3650	1696
1227	3652	1692
1228	3653	1688
1229	3655	1684
1230	3656	1681
1231	3658	1677
1232	3659	1673
121236	3608	1631234	3661	1666
121238	3611	162121239	3612	162121240	3614	161121241	3616	161121242	3617	161121243	3618	160121244	3620	160121245	3621	160121246	3623	159121247	3624	159121248	3625	159121249	3627	158121250	3628	158121251	3630	158121252	3631	157121253	3633	157121254	3634	156121255	3635	156121256	3637	1561254	3690	1594
1255	3692	1590
1256	3693	1586
1257	3695	1583
1258	3696	1579
1259	3697	1576
1260	3699	1572
121264	3649	1531262	3702	1565
121266	3652	152121267	3653	152121268	3655	1521266	3708	1551
1267	3709	1547
121271	3659	151121272	3660	150121273	3661	150121274	3663	149121275	3664	149121276	3666	149121277	3667	148121278	3669	148121279	3670	148121280	3672	147121281	3673	147121282	3674	147121283	3676	1468
1284	3677	1465
1285	3678	1461
1286	3680	145121287	3681	1454
1288	3683	1451
1289	3684	1448
1290	3686	1444
1291	3687	1441
1292	3688	1437
1293	3690	1434
1294	3691	1431
1295	3693	1427
1296	3694	1424
1297	3695	1420
1298	3696	1417
1299	3698	1413
1300	3699	1410
1301	3700	1407
1302	3702	1403
1303	3703	1400
1304	3705	1396
1305	3706	1393
1306	3708	1390
1307	3709	1386
1308	3711	1383
1309	3712	1380
1310	3713	1376
1311	3715	1373
1312	3716	1369
1313	3717	1366
1314	3719	1363
1315	3721	1360
1316	3722	1356
1317	3724	1353
1318	3725	1350
1319	3727	1346
1320	3728	1343
1321	3729	1340
1322	3731	1336
1323	3732	1333
1324	3734	1330
1325	3735	1327
1326	3737	1323
1327	3738	1320
1328	3740	1317
1329	3741	1313
1330	3742	1310
1331	3744	1307
1332	3745	1303
1333	3746	1300
1334	3748	1297
1335	3749	1293
1336	3750	1290
1337	3752	1287
1338	3753	1283
1339	3754	1280
1340	3756	1277
1341	3757	1273
1342	3758	1270
1343	3760	1267
1344	3761	1264
1345	3763	1260
1346	3764	1257
1347	3766	1254
1348	3768	1251
1349	3769	1248
1350	3770	1244
1351	3771	1241
1352	3773	1238
1353	3774	1235
1354	3776	1231
1355	3777	1228
1356	3779	1225
1357	3780	1222
1358	3782	1219
1359	3783	1215
1360	3785	1212
1361	3787	1209
1362	3788	1206
1363	3790	1203
1364	3791	1200
1365	3793	1196
1366	3794	1193
1367	3795	1190
1368	3797	1187
1369	3798	1183
1370	3800	1180
1371	3802	1177
1372	3803	1174
1373	3804	1171
1374	3806	1168
1375	3807	1164
1376	3808	1161
1377	3810	1158
1378	3811	1155
1379	3813	1152
1380	3814	1149
1381	3816	1145
1382	3817	1142
1383	3819	1139
1384	3820	1136
1385	3821	1133
1386	3823	1130
1387	3824	1127
1388	3826	1123
1389	3827	1120
1390	3829	1117
1391	3830	1114
1392	3832	1111
1393	3833	1108
1394	3834	1105
1395	3836	1101
1396	3837	1098
1397	3839	1095
1398	3840	1092
1399	3842	1089
1400	3843	1086
1401	3845	1083
1402	3846	1080
1403	3848	1077
1404	3849	1074
1405	3850	1070
1406	3852	1067
1407	3854	1064
1408	3855	1061
1409	3857	1058
1410	3858	1055
1411	3860	1052
1412	3861	1049
1413	3862	1046
1414	3864	1043
1415	3865	1040
1416	3866	1037
1417	3868	1033
1418	3870	1030
1419	3871	1027
1420	3872	1024
1421	3874	1021
1422	3875	1018
1423	3877	1015
1424	3878	1012
1425	3880	1009
1426	3881	1006
1427	3882	1003
1428	3884	1000
1429	3885	997
1430	3887	994
1431	3888	991
1432	3889	988
1433	3891	985
1434	3892	981
1435	3893	978
1436	3895	975
1437	3896	972
1438	3898	969
1439	3899	966
1440	3901	963
1441	3903	960
1442	3905	958
1443	3906	954
1444	3907	951
1445	3909	948
1446	3910	945
1447	3912	942
1448	3913	939
1449	3915	936
1450	3916	933
1451	3917	930
1452	3919	927
1453	3920	924
1454	3922	921
1455	3923	918
1456	3925	915
1457	3926	912
1458	3927	909
1459	3929	906
1460	3930	903
1461	3931	900
1462	3933	897
1463	3934	894
1464	3936	891
1465	3937	889
1466	3938	886
1467	3940	883
1468	3941	880
1469	3943	877
1470	3944	874
1471	3945	871
1472	3947	868
1473	3948	865
1474	3949	862
1475	3951	859
1476	3952	856
1477	3954	853
1478	3955	850
1479	3957	847
1480	3958	844
1481	3959	841
1482	3961	838
1483	3963	835
1484	3964	832
1485	3965	829
1486	3967	827
1487	3968	824
1488	3969	821
1489	3970	818
1490	3972	815
1491	3973	812
1492	3974	809
1493	3976	806
1494	3977	803
1495	3979	800
1496	3980	797
1497	3982	794
1498	3983	791
1499	3984	788
1500	3986	786
1501	3987	783
1502	3988	780
1503	3990	777
1504	3991	774
1505	3993	771
1506	3994	768
1507	3995	765
1508	3996	762
1509	3998	759
1510	3999	757
1511	4001	754
1512	4002	751
1513	4004	748
1514	4005	745
1515	4007	742
1516	4008	739
1517	4010	737
1518	4011	734
1519	4013	731
1520	4014	728
1521	4015	725
1522	4017	722
1523	4018	719
1524	4019	717
1525	4021	714
1526	4022	711
1527	4024	708
1528	4025	705
1529	4026	702
1530	4028	699
1531	4029	697
1532	4031	694
1533	4032	691
1534	4033	688
1535	4035	685
1536	4036	682
1537	4038	680
1538	4039	677
1539	4040	674
1540	4042	671
1541	4043	668
1542	4045	665
1543	4046	663
1544	4047	660
1545	4049	657
1546	4050	654
1547	4052	651
1548	4053	648
1549	4055	646
1550	4056	643
1551	4057	640
1552	4059	637
1553	4061	635
1554	4062	632
1555	4064	629
1556	4065	626
1557	4066	623
1558	4067	621
1559	4069	618
1560	4070	615
1561	4071	612
1562	4073	609
1563	4074	607
1564	4076	604
1565	4077	601
1566	4079	598
1567	4080	595
1568	4081	593
1569	4083	590
1570	4084	587
1571	4085	584
1572	4087	582
1573	4088	579
1574	4089	576
1575	4091	573
1576	4092	570
1577	4094	568
1578	4095	565
1579	4097	562
1580	4099	560
1581	4100	557
1582	4101	554
1583	4103	551
1584	4105	549
1585	4106	546
1586	4108	543
1587	4109	540
1588	4111	538
1589	4113	535
1590	4114	532
1591	4116	530
1592	4118	527
1593	4119	524
1594	4121	521
1595	4122	519
1596	4124	516
1597	4125	513
1598	4126	511
1599	4128	508
1600	4129	505
1601	4131	502
1602	4132	500
1603	4134	497
1604	4135	494
1605	4136	491
1606	4138	489
1607	4140	486
1608	4141	483
1609	4142	481
1610	4144	478
1611	4145	475
1612	4147	473
1613	4148	470
1614	4150	467
1615	4151	464
1616	4152	462
1617	4154	459
1618	4155	456
1619	4157	454
1620	4158	451
1621	4160	448
1622	4161	446
1623	4163	443
1624	4164	440
1625	4166	438
1626	4168	435
1627	4169	432
1628	4171	430
1629	4173	427
1630	4174	424
1631	4176	422
1632	4177	419
1633	4179	416
1634	4180	414
1635	4181	411
1636	4183	408
1637	4184	406
1638	4186	403
1639	4187	400
1640	4189	398
1641	4190	395
1642	4192	392
1643	4193	390
1644	4195	387
1645	4196	384
1646	4197	382
1647	4199	379
1648	4200	377
1649	4202	374
1650	4203	371
1651	4204	369
1652	4206	366
1653	4207	363
1654	4208	361
1655	4210	358
1656	4211	355
1657	4213	353
1658	4214	350
1659	4215	347
1660	4217	345
1661	4218	342
1662	4220	340
1663	4221	337
1664	4223	334
1665	4224	332
1666	4226	329
1667	4227	326
1668	4229	324
1669	4230	321
1670	4231	319
1671	4233	316
1672	4234	313
1673	4235	311
1674	4236	308
1675	4238	305
1676	4239	303
1677	4241	300
1678	4242	298
1679	4243	295
1680	4245	292
1681	4246	290
1682	4247	287
1683	4249	285
1684	4250	282
1685	4252	279
1686	4253	277
1687	4255	274
1688	4256	272
1689	4258	269
1690	4259	267
1691	4261	264
1692	4262	261
1693	4264	259
1694	4265	256
1695	4267	254
1696	4268	251
1697	4270	249
1698	4272	246
1699	4273	243
1700	4275	241
1701	4276	238
1702	4277	236
1703	4279	233
1704	4280	230
1705	4282	228
1706	4283	225
1707	4284	223
1708	4286	220
1709	4287	218
1710	4289	215
1711	4290	213
1712	4292	210
1713	4293	207
1714	4295	205
1715	4296	202
1716	4298	200
1717	4299	197
1718	4300	195
1719	4302	192
1720	4303	190
1721	4304	187
1722	4306	184
1723	4307	182
1724	4309	179
1725	4311	177
1726	4312	174
1727	4313	172
1728	4315	169
1729	4316	167
1730	4317	164
1731	4319	162
1732	4320	159
1733	4322	157
1734	4323	154
1735	4325	151
1736	4326	149
1737	4328	146
1738	4329	144
1739	4330	141
1740	4332	139
1741	4333	136
1742	4334	134
1743	4336	131
1744	4337	129
1745	4339	126
1746	4340	124
1747	4341	121
1748	4343	119
1749	4344	116
1750	4346	114
1751	4347	111
1752	4349	109
1753	4350	106
